1 -270.639 -401.284 1.334
2 -889.030 -1317.993 2.030
3 -1782.746 -2642.994 7.828
4 -2920.630 -4329.941 4.209
5 -4283.125 -6350.012 -6.089
6 -5856.458 -8682.487 -7.401
7 -7629.385 -11311.496 -19.342
8 -9594.027 -14224.339 -32.245
9 -11742.666 -17410.195 -52.603
10 -204.497 438.695 -0.195
11 -671.853 1440.997 0.618
12 -1347.232 2889.460 12.442
13 -2207.126 4733.627 19.929
14 -3236.842 6942.066 28.046
15 -4425.510 9491.927 19.299
16 -5765.306 12366.074 13.820
17 -7249.690 15550.460 25.322
18 -8748.442 19090.277 -53.300
19 434.713 -38.038 -0.025
20 1428.157 -124.977 -1.397
21 2963.355 -259.368 -0.074
22 4691.505 -410.659 -0.360
23 6880.141 -602.292 0.607
24 9407.517 -823.557 0.089
25 12255.894 -1072.927 -4.242
26 15411.744 -1349.249 -7.729
27 18863.469 -1651.464 -9.175
