-25.021 -37.135 0.914
-82.284 -122.034 0.976
-165.233 -244.996 1.132
-270.639 -401.284 1.334
-396.927 -588.457 1.894
-542.687 -804.571 2.518
-706.997 -1048.134 2.505
-889.030 -1317.993 2.030
-1088.250 -1613.285 2.390
-18.897 40.667 0.865
-62.276 133.638 0.855
-124.801 267.763 0.868
-204.497 438.695 -0.195
-299.919 643.316 -0.826
-410.060 879.294 -0.377
-534.248 1145.912 0.402
-671.853 1440.997 0.618
-822.349 1763.730 3.978
54.693 -4.776 0.719
134.375 -11.737 0.567
265.395 -23.213 0.298
434.713 -38.038 -0.025
637.591 -55.779 -0.469
871.773 -76.288 -0.971
1135.728 -99.387 -1.343
1428.157 -124.977 -1.397
1748.031 -152.981 -1.467
