-82.284 -122.034 0.976
-270.639 -401.284 1.334
-542.687 -804.571 2.518
-889.030 -1317.993 2.030
-1303.874 -1932.978 3.292
-1782.746 -2642.994 7.828
-2322.578 -3443.308 18.131
-2920.630 -4329.941 4.209
-3574.776 -5299.782 -3.637
-62.276 133.638 0.855
-204.497 438.695 -0.195
-410.060 879.294 -0.377
-671.853 1440.997 0.618
-985.302 2113.243 9.653
-1347.232 2889.460 12.442
-1755.162 3764.329 18.331
-2207.126 4733.627 19.929
-2701.519 5793.900 25.124
134.375 -11.737 0.567
434.713 -38.038 -0.025
871.773 -76.288 -0.971
1428.157 -124.977 -1.397
2094.433 -183.290 -0.899
2963.355 -259.368 -0.074
3730.785 -326.564 -1.206
4691.505 -410.659 -0.360
5742.270 -502.947 0.023
