1 -39.789 3.499 0.840
2 -25.021 -37.135 0.914
3 -50.207 -74.486 0.948
4 -82.284 -122.034 0.976
5 -120.873 -179.228 1.053
6 -165.233 -244.996 1.132
7 -215.239 -319.126 1.232
8 -270.639 -401.284 1.334
9 -331.258 -491.117 1.439
10 -79.650 6.994 0.865
11 -18.897 40.667 0.865
12 -37.958 81.529 0.877
13 -62.276 133.638 0.855
14 -91.268 195.845 0.881
15 -124.801 267.763 0.868
16 -162.640 348.886 0.472
17 -204.497 438.695 -0.195
18 -250.310 536.895 -0.745
19 0.048 0.015 0.843
20 54.693 -4.776 0.719
21 94.536 -8.262 0.646
22 134.375 -11.737 0.567
23 194.120 -16.986 0.414
24 265.395 -23.213 0.298
25 345.751 -30.249 0.150
26 434.713 -38.038 -0.025
27 532.150 -46.627 -0.276
